qid,relation_id,relation_labels
Q343055,"dict_keys(['cast member', 'doctoral advisor', 'author', 'main subject'])","dict_values(['P161', 'P184', 'P50', 'P921'])"
Q7716787,dict_keys([]),dict_values([])
Q1149868,dict_keys(['position played on team / speciality']),dict_values(['P413'])
Q3484001,dict_keys([]),dict_values([])
Q77202,"dict_keys(['publisher', 'founded by', 'developer', 'translator', 'owned by', 'creator', 'distributed by', 'designed by', 'parent organization'])","dict_values(['P123', 'P112', 'P178', 'P655', 'P127', 'P170', 'P750', 'P287', 'P749'])"
Q5367414,dict_keys([]),dict_values([])
Q6321844,dict_keys([]),dict_values([])
Q2734098,"dict_keys(['based on', 'notable work', 'has melody', 'theme music', 'recording or performance of', 'different from', 'quotes work', 'modified version of'])","dict_values(['P144', 'P800', 'P1625', 'P942', 'P2550', 'P1889', 'P6166', 'P5059'])"
Q3218450,dict_keys(['followed by']),dict_values(['P156'])
['Q5595454'],error,error
Q113052,dict_keys([]),dict_values([])
Q3888374,"dict_keys(['category combines topics', 'performer', 'template has topic'])","dict_values(['P971', 'P175', 'P1423'])"
Q2611429,dict_keys(['followed by']),dict_values(['P156'])
Q7555062,dict_keys([]),dict_values([])
Q734186,dict_keys(['notable work']),dict_values(['P800'])
Q1291283,dict_keys(['cast member']),dict_values(['P161'])
Q1467638,"dict_keys(['spouse', 'mother', 'cast member', 'sibling'])","dict_values(['P26', 'P25', 'P161', 'P3373'])"
Q1259759,"dict_keys(['instance of', 'genre', 'has part(s) of the class', 'field of work', 'category combines topics', ""category's main topic"", 'category contains', 'has quality', 'different from', 'main subject', 'is a list of', 'subclass of'])","dict_values(['P31', 'P136', 'P2670', 'P101', 'P971', 'P301', 'P4224', 'P1552', 'P1889', 'P921', 'P360', 'P279'])"
Q240,"dict_keys(['item for this sense', 'demonym of', 'place of birth', 'location of sense usage', 'shares border with', 'twinned administrative body', 'part of', 'place of death', 'applies to jurisdiction', 'contains the administrative territorial entity', 'has part(s)', 'residence', 'capital of', 'Wikidata property example', 'indigenous to', 'place of burial', 'owned by', 'capital', 'different from', 'located in the administrative territorial entity', 'headquarters location', 'named after', 'location', 'place of publication', 'work location', 'operating area', 'location of formation', 'licensed to broadcast to', 'facet of', 'location of creation', 'replaced by', 'place served by transport hub', 'official residence', 'depicts', 'category combines topics', 'template has topic', 'founded by', 'main subject', 'place of devotion', ""category's main topic"", ""Wikimedia portal's main topic"", 'commissioned by', 'organizer', 'conferred by'])","dict_values(['P5137', 'P6271', 'P19', 'P6084', 'P47', 'P190', 'P361', 'P20', 'P1001', 'P150', 'P527', 'P551', 'P1376', 'P1855', 'P2341', 'P119', 'P127', 'P36', 'P1889', 'P131', 'P159', 'P138', 'P276', 'P291', 'P937', 'P2541', 'P740', 'P1408', 'P1269', 'P1071', 'P1366', 'P931', 'P263', 'P180', 'P971', 'P1423', 'P112', 'P921', 'P5873', 'P301', 'P1204', 'P88', 'P664', 'P1027'])"
Q770744,dict_keys([]),dict_values([])
Q140642,"dict_keys(['director', 'screenwriter', 'cast member', 'producer'])","dict_values(['P57', 'P58', 'P161', 'P162'])"
['Q1643233'],error,error
Q187732,"dict_keys(['based on', 'follows', 'followed by', ""category's main topic"", 'present in work', 'product or material produced', 'fictional universe described in', 'used by'])","dict_values(['P144', 'P155', 'P156', 'P301', 'P1441', 'P1056', 'P1445', 'P1535'])"
Q7760419,dict_keys([]),dict_values([])
Q7676460,"dict_keys(['performer', 'different from'])","dict_values(['P175', 'P1889'])"
Q298255,"dict_keys(['director', 'spouse', 'screenwriter', 'composer', 'cast member', 'producer', 'creator', 'performer', 'member of', 'has part(s)', ""category's main topic"", 'category combines topics', 'voice actor', 'template has topic', 'talk show guest'])","dict_values(['P57', 'P26', 'P58', 'P86', 'P161', 'P162', 'P170', 'P175', 'P463', 'P527', 'P301', 'P971', 'P725', 'P1423', 'P5030'])"
Q18389330,dict_keys([]),dict_values([])
Q193355,"dict_keys(['genre', 'field of work', 'subclass of', ""category's main topic"", 'category combines topics'])","dict_values(['P136', 'P101', 'P279', 'P301', 'P971'])"
Q194236,"dict_keys(['instance of', 'subclass of', 'occupation', 'category combines topics', 'opposite of', 'said to be the same as', 'movement', 'main subject', 'political ideology', ""category's main topic"", 'facet of', 'item for this sense', 'convicted of', 'has quality', 'advertises'])","dict_values(['P31', 'P279', 'P106', 'P971', 'P461', 'P460', 'P135', 'P921', 'P1142', 'P301', 'P1269', 'P5137', 'P1399', 'P1552', 'P6291'])"
Q3603350,dict_keys([]),dict_values([])
Q6374176,dict_keys([]),dict_values([])
Q1344736,"dict_keys(['followed by', 'owned by', 'record label', 'production company', 'cast member', 'parent organization', 'distributed by', ""category's main topic"", 'replaced by', 'merged into', 'funder'])","dict_values(['P156', 'P127', 'P264', 'P272', 'P161', 'P749', 'P750', 'P301', 'P1366', 'P7888', 'P8324'])"
Q2613880,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q503941,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'replaces', 'capital of', 'indigenous to', 'headquarters location', 'location', 'applies to jurisdiction', ""category's main topic"", 'parent organization', 'replaced by'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P150', 'P1365', 'P1376', 'P2341', 'P159', 'P276', 'P1001', 'P301', 'P749', 'P1366'])"
Q7817907,"dict_keys(['cast member', 'voice actor'])","dict_values(['P161', 'P725'])"
Q36471,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'twinned administrative body', 'different from', 'headquarters location', 'residence', ""category's main topic"", 'category combines topics', 'location of formation', 'work location', 'start point', 'narrative location', 'destination point', 'permanent duplicated item', 'capital of', 'main subject'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P150', 'P190', 'P1889', 'P159', 'P551', 'P301', 'P971', 'P740', 'P937', 'P1427', 'P840', 'P1444', 'P2959', 'P1376', 'P921'])"
Q717231,dict_keys(['consecrator']),dict_values(['P1598'])
Q836452,"dict_keys(['performer', 'winner'])","dict_values(['P175', 'P1346'])"
Q7460816,dict_keys([]),dict_values([])
Q219526,"dict_keys(['place of birth', 'located in the administrative territorial entity', 'place of death', 'headquarters location', 'place of burial', 'location', 'place of publication', 'residence', 'applies to jurisdiction', 'work location', 'start point', 'location of formation', 'destination point', 'capital', 'category combines topics', 'named after', ""category's main topic"", 'licensed to broadcast to', 'place served by transport hub', 'contains the administrative territorial entity'])","dict_values(['P19', 'P131', 'P20', 'P159', 'P119', 'P276', 'P291', 'P551', 'P1001', 'P937', 'P1427', 'P740', 'P1444', 'P36', 'P971', 'P138', 'P301', 'P1408', 'P931', 'P150'])"
Q568030,dict_keys([]),dict_values([])
Q83813,"dict_keys(['place of birth', 'place of death', 'twinned administrative body', 'residence', 'terminus location', 'located in the administrative territorial entity', 'location', 'owned by', 'capital', 'headquarters location', 'place of burial', 'home port', 'location of formation', 'narrative location', 'contains the administrative territorial entity', 'work location', 'location of creation', 'significant place', 'licensed to broadcast to', 'place served by transport hub', 'place of publication', 'named after', 'category combines topics', 'main subject', 'destination point', 'filming location', 'applies to jurisdiction', ""category's main topic""])","dict_values(['P19', 'P20', 'P190', 'P551', 'P609', 'P131', 'P276', 'P127', 'P36', 'P159', 'P119', 'P504', 'P740', 'P840', 'P150', 'P937', 'P1071', 'P7153', 'P1408', 'P931', 'P291', 'P138', 'P971', 'P921', 'P1444', 'P915', 'P1001', 'P301'])"
Q7187337,dict_keys([]),dict_values([])
Q309838,"dict_keys(['composer', ""category's main topic"", 'cast member', 'has part(s)', 'lyrics by'])","dict_values(['P86', 'P301', 'P161', 'P527', 'P676'])"
Q4981183,dict_keys([]),dict_values([])
Q965824,dict_keys(['Wikidata property example']),dict_values(['P1855'])
Q7769240,"dict_keys(['follows', 'notable work'])","dict_values(['P155', 'P800'])"
Q1349702,"dict_keys(['producer', 'performer', 'has part(s)', 'category combines topics', 'template has topic'])","dict_values(['P162', 'P175', 'P527', 'P971', 'P1423'])"
Q513775,"dict_keys(['place of birth', 'located in the administrative territorial entity', 'place of death', 'shares border with', 'location', 'category combines topics', 'operating area', 'contains the administrative territorial entity', ""category's main topic"", 'capital of'])","dict_values(['P19', 'P131', 'P20', 'P47', 'P276', 'P971', 'P2541', 'P150', 'P301', 'P1376'])"
Q37073,"dict_keys(['part of', 'field of work', 'subclass of', 'radio format', 'field of this occupation', 'opposite of', 'said to be the same as', 'member of', 'genre', 'movement', 'occupation', ""category's main topic"", 'influenced by', 'main subject', 'category combines topics', 'inspired by', 'facet of', 'template has topic', 'different from', 'instrument', 'has part(s)', 'interested in', 'item for this sense', 'based on'])","dict_values(['P361', 'P101', 'P279', 'P415', 'P425', 'P461', 'P460', 'P463', 'P136', 'P135', 'P106', 'P301', 'P737', 'P921', 'P971', 'P941', 'P1269', 'P1423', 'P1889', 'P1303', 'P527', 'P2650', 'P5137', 'P144'])"
Q1085726,dict_keys(['followed by']),dict_values(['P156'])
Q571598,"dict_keys(['father', 'spouse', 'composer', 'founded by', 'performer'])","dict_values(['P22', 'P26', 'P86', 'P112', 'P175'])"
Q83158,"dict_keys(['author', 'child', 'screenwriter', 'director', 'librettist', 'named after', 'cast member', 'director of photography', 'creator', 'unmarried partner', 'participant', 'influenced by', 'main subject', 'depicts', 'significant person', 'author of foreword', 'winner', 'architect', 'illustrator', 'designed by', ""category's main topic"", 'presenter', 'lyrics by', 'category combines topics', 'relative', 'after a work by', 'officeholder'])","dict_values(['P50', 'P40', 'P58', 'P57', 'P87', 'P138', 'P161', 'P344', 'P170', 'P451', 'P710', 'P737', 'P921', 'P180', 'P3342', 'P2679', 'P1346', 'P84', 'P110', 'P287', 'P301', 'P371', 'P676', 'P971', 'P1038', 'P1877', 'P1308'])"
Q11154007,"dict_keys(['spouse', 'cast member', ""category's main topic"", 'relative'])","dict_values(['P26', 'P161', 'P301', 'P1038'])"
Q783871,"dict_keys(['performer', 'different from'])","dict_values(['P175', 'P1889'])"
Q2533333,dict_keys(['record label']),dict_values(['P264'])
Q128010,"dict_keys(['performer', 'producer', 'member of', ""category's main topic"", 'participant', 'category combines topics', 'template has topic'])","dict_values(['P175', 'P162', 'P463', 'P301', 'P710', 'P971', 'P1423'])"
Q43227,"dict_keys(['author', 'screenwriter', 'cast member', ""category's main topic"", 'after a work by', 'lyrics by', 'category combines topics'])","dict_values(['P50', 'P58', 'P161', 'P301', 'P1877', 'P676', 'P971'])"
Q58070,"dict_keys(['father', 'spouse', 'child', 'patron saint', 'sibling', 'stepparent'])","dict_values(['P22', 'P26', 'P40', 'P417', 'P3373', 'P3448'])"
Q16252844,dict_keys([]),dict_values([])
Q6774340,dict_keys([]),dict_values([])
Q16165088,dict_keys([]),dict_values([])
Q3519495,"dict_keys(['cast member', 'spouse'])","dict_values(['P161', 'P26'])"
Q1613685,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q16259571,dict_keys([]),dict_values([])
Q6835625,"dict_keys(['presenter', 'cast member'])","dict_values(['P371', 'P161'])"
Q5085093,dict_keys([]),dict_values([])
Q934345,"dict_keys(['director', 'screenwriter', 'cast member', 'performer', 'winner'])","dict_values(['P57', 'P58', 'P161', 'P175', 'P1346'])"
Q1584103,dict_keys(['performer']),dict_values(['P175'])
Q1983112,"dict_keys(['founded by', 'main subject', 'sibling'])","dict_values(['P112', 'P921', 'P3373'])"
Q2499405,"dict_keys(['follows', 'followed by', 'different from'])","dict_values(['P155', 'P156', 'P1889'])"
Q669597,"dict_keys(['author', 'winner', 'doctoral advisor', 'owned by', 'board member', 'speaker', 'talk show guest'])","dict_values(['P50', 'P1346', 'P184', 'P127', 'P3320', 'P823', 'P5030'])"
Q3639283,"dict_keys(['cast member', 'presenter', 'unmarried partner'])","dict_values(['P161', 'P371', 'P451'])"
['Q336286'],error,error
Q7858376,dict_keys([]),dict_values([])
Q4980796,dict_keys([]),dict_values([])
Q771436,dict_keys(['named after']),dict_values(['P138'])
Q16885718,dict_keys([]),dict_values([])
Q1700126,dict_keys(['cast member']),dict_values(['P161'])
['Q1943964'],error,error
Q390718,dict_keys(['secretary general']),dict_values(['P3975'])
Q944112,"dict_keys(['based on', 'present in work', 'notable work', 'manifestation of'])","dict_values(['P144', 'P1441', 'P800', 'P1557'])"
Q3600098,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q234670,"dict_keys(['spouse', 'sibling'])","dict_values(['P26', 'P3373'])"
Q232227,dict_keys([]),dict_values([])
Q4905406,dict_keys(['performer']),dict_values(['P175'])
Q2593862,"dict_keys(['composer', 'performer', 'producer'])","dict_values(['P86', 'P175', 'P162'])"
Q7728267,"dict_keys(['followed by', 'present in work'])","dict_values(['P156', 'P1441'])"
Q7832268,"dict_keys(['record label', ""category's main topic"", 'category combines topics'])","dict_values(['P264', 'P301', 'P971'])"
Q11173100,dict_keys([]),dict_values([])
Q16954372,dict_keys([]),dict_values([])
Q192165,"dict_keys(['child', 'director', 'cast member', 'producer', 'performer', 'voice actor', 'depicts', 'winner', ""category's main topic"", 'board member', 'executive producer', 'main subject', 'significant person'])","dict_values(['P40', 'P57', 'P161', 'P162', 'P175', 'P725', 'P180', 'P1346', 'P301', 'P3320', 'P1431', 'P921', 'P3342'])"
Q784812,dict_keys(['notable work']),dict_values(['P800'])
Q487043,"dict_keys(['father', 'child', 'performer', 'participant'])","dict_values(['P22', 'P40', 'P175', 'P710'])"
Q131272,"dict_keys(['field of this occupation', 'subclass of', 'genre', ""category's main topic"", 'main subject', 'influenced by', 'category combines topics', 'facet of', 'item for this sense', 'Wikidata property example', 'inspired by'])","dict_values(['P425', 'P279', 'P136', 'P301', 'P921', 'P737', 'P971', 'P1269', 'P5137', 'P1855', 'P941'])"
Q879250,"dict_keys(['characters', 'successful candidate'])","dict_values(['P674', 'P991'])"
Q231356,"dict_keys(['author', 'screenwriter', 'creator', 'significant person', ""category's main topic"", 'facet of'])","dict_values(['P50', 'P58', 'P170', 'P3342', 'P301', 'P1269'])"
Q840829,"dict_keys(['instance of', 'field of work', 'architectural style', 'has part(s)', 'movement', 'genre', 'based on', 'part of', 'subclass of', ""category's main topic"", 'category combines topics', 'facet of', 'main subject', 'inspired by', 'interested in'])","dict_values(['P31', 'P101', 'P149', 'P527', 'P135', 'P136', 'P144', 'P361', 'P279', 'P301', 'P971', 'P1269', 'P921', 'P941', 'P2650'])"
Q3656907,dict_keys([]),dict_values([])
Q5210895,dict_keys([]),dict_values([])
Q6705270,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q211723,"dict_keys(['genre', 'subclass of', ""category's main topic"", 'category combines topics'])","dict_values(['P136', 'P279', 'P301', 'P971'])"
Q920439,"dict_keys(['film editor', 'cast member', 'producer'])","dict_values(['P1040', 'P161', 'P162'])"
Q2575788,"dict_keys(['has part(s)', 'product or material produced', ""category's main topic""])","dict_values(['P527', 'P1056', 'P301'])"
Q5359694,"dict_keys(['employer', 'owned by', ""category's main topic"", 'investor'])","dict_values(['P108', 'P127', 'P301', 'P1951'])"
['Q193355'],error,error
Q496667,"dict_keys(['place of birth', 'place of death', 'capital', 'owned by', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'headquarters location', 'twinned administrative body', 'location', 'home port', 'main subject', 'category combines topics', 'applies to jurisdiction', 'represents', ""category's main topic"", 'terminus location'])","dict_values(['P19', 'P20', 'P36', 'P127', 'P47', 'P131', 'P150', 'P159', 'P190', 'P276', 'P504', 'P921', 'P971', 'P1001', 'P1268', 'P301', 'P609'])"
Q395013,"dict_keys(['performer', 'member of', ""category's main topic"", 'influenced by'])","dict_values(['P175', 'P463', 'P301', 'P737'])"
Q3926061,dict_keys([]),dict_values([])
Q4770814,dict_keys(['followed by']),dict_values(['P156'])
Q10871364,"dict_keys(['occupation', 'is a list of', 'intended public', 'practiced by', 'has part(s) of the class', 'category combines topics', 'has cause', 'main subject', 'facet of', 'different from', 'used by', 'item for this sense', 'sport', 'template has topic', 'subclass of', 'depicts', ""category's main topic""])","dict_values(['P106', 'P360', 'P2360', 'P3095', 'P2670', 'P971', 'P828', 'P921', 'P1269', 'P1889', 'P1535', 'P5137', 'P641', 'P1423', 'P279', 'P180', 'P301'])"
Q16232322,dict_keys([]),dict_values([])
Q2818867,dict_keys([]),dict_values([])
Q3992270,dict_keys([]),dict_values([])
Q7106191,dict_keys(['follows']),dict_values(['P155'])
Q704913,dict_keys([]),dict_values([])
Q1628898,dict_keys([]),dict_values([])
Q3492576,dict_keys([]),dict_values([])
Q5245546,dict_keys(['performer']),dict_values(['P175'])
Q859369,"dict_keys(['instance of', 'subclass of', ""category's main topic"", 'genre', 'category combines topics', 'different from'])","dict_values(['P31', 'P279', 'P301', 'P136', 'P971', 'P1889'])"
Q5870409,dict_keys(['field of work']),dict_values(['P101'])
['Q33999'],error,error
Q1042912,"dict_keys(['author', 'participant', 'doctoral student', 'winner', 'influenced by'])","dict_values(['P50', 'P710', 'P185', 'P1346', 'P737'])"
Q649,"dict_keys(['country', 'country of origin', 'exclave of', 'home port', 'place of birth', 'port of registry', 'residence', 'narrative location', 'location', 'location of formation', 'terminus', 'exhibition history', 'terminus location', 'depicts', 'twinned administrative body', 'collection', 'business division', 'official residence', 'located on street', 'located in/on physical feature', 'place of publication', 'part of', 'recorded at studio or venue', 'said to be the same as', 'located in time zone', 'filming location', 'work location', 'main subject', 'operating area', 'indigenous to', 'place of detention', 'connects with', 'demonym of', 'permanent duplicated item', 'domain of saint or deity', 'location of first performance', ""category's main topic"", 'has subsidiary', 'item for this sense', 'location of the point of view', 'significant place', 'place served by transport hub', 'merged into', 'inspired by', 'category combines topics', 'applies to jurisdiction', 'location of creation', 'donated by', 'fictional analog of', ""Wikimedia portal's main topic"", 'facet of', 'primary destinations', 'start point', 'licensed to broadcast to', 'winner', 'proxy', 'published in', 'destination point', 'Wikidata property example', 'place of death', 'place of burial', 'publisher', 'located in the administrative territorial entity', 'owned by', 'instance of', 'capital', 'country of citizenship', 'shares border with', 'member of sports team', 'employer', 'home venue', 'airline hub', 'headquarters location', 'named after', 'contains the administrative territorial entity'])","dict_values(['P17', 'P495', 'P500', 'P504', 'P19', 'P532', 'P551', 'P840', 'P276', 'P740', 'P559', 'P608', 'P609', 'P180', 'P190', 'P195', 'P199', 'P263', 'P669', 'P706', 'P291', 'P361', 'P483', 'P460', 'P421', 'P915', 'P937', 'P921', 'P2541', 'P2341', 'P2632', 'P2789', 'P6271', 'P2959', 'P2925', 'P4647', 'P301', 'P355', 'P5137', 'P7108', 'P7153', 'P931', 'P7888', 'P941', 'P971', 'P1001', 'P1071', 'P1028', 'P1074', 'P1204', 'P1269', 'P1302', 'P1427', 'P1408', 'P1346', 'P1393', 'P1433', 'P1444', 'P1855', 'P20', 'P119', 'P123', 'P131', 'P127', 'P31', 'P36', 'P27', 'P47', 'P54', 'P108', 'P115', 'P113', 'P159', 'P138', 'P150'])"
Q7814782,dict_keys([]),dict_values([])
Q17635437,dict_keys([]),dict_values([])
Q54888,"dict_keys(['place of birth', 'shares border with', 'located in the administrative territorial entity', 'named after', 'contains the administrative territorial entity', 'demonym of', 'has part(s)', 'capital of', 'filming location', 'location', ""category's main topic"", 'category combines topics', 'applies to jurisdiction', 'operating area', 'territory overlaps', 'work location'])","dict_values(['P19', 'P47', 'P131', 'P138', 'P150', 'P6271', 'P527', 'P1376', 'P915', 'P276', 'P301', 'P971', 'P1001', 'P2541', 'P3179', 'P937'])"
Q7797961,dict_keys([]),dict_values([])
Q16562,"dict_keys(['place of birth', 'item for this sense', 'place of death', 'capital', 'named after', 'twinned administrative body', 'residence', 'contains the administrative territorial entity', 'located in the administrative territorial entity', 'owned by', 'headquarters location', 'terminus location', 'operator', 'location', 'place of publication', 'licensed to broadcast to', 'location of formation', ""category's main topic"", 'significant place', 'work location', 'place served by transport hub', 'filming location', 'category combines topics', 'applies to jurisdiction', 'different from', 'operating area', 'narrative location', 'main subject', 'facet of', 'depicts'])","dict_values(['P19', 'P5137', 'P20', 'P36', 'P138', 'P190', 'P551', 'P150', 'P131', 'P127', 'P159', 'P609', 'P137', 'P276', 'P291', 'P1408', 'P740', 'P301', 'P7153', 'P937', 'P931', 'P915', 'P971', 'P1001', 'P1889', 'P2541', 'P840', 'P921', 'P1269', 'P180'])"
Q701250,dict_keys([]),dict_values([])
Q208414,"dict_keys(['cause of death', 'medical condition', 'has part(s)', 'subclass of', ""category's main topic"", 'instance of', 'field of work', 'therapeutic area', 'item for this sense', 'established from medical condition', 'symptoms and signs', 'main subject', 'genetic association', 'medical condition treated', 'category combines topics', 'medical indication', 'manner of death', 'has effect', 'increased expression in', 'facet of'])","dict_values(['P509', 'P1050', 'P527', 'P279', 'P301', 'P31', 'P101', 'P4044', 'P5137', 'P5166', 'P780', 'P921', 'P2293', 'P2175', 'P971', 'P10630', 'P1196', 'P1542', 'P1911', 'P1269'])"
Q590103,"dict_keys(['genre', 'main subject', 'subclass of', 'category combines topics'])","dict_values(['P136', 'P921', 'P279', 'P971'])"
Q5507277,dict_keys([]),dict_values([])
Q4908996,dict_keys([]),dict_values([])
Q55228,"dict_keys(['fictional universe described in', 'has part(s)', 'present in work'])","dict_values(['P1445', 'P527', 'P1441'])"
Q840946,dict_keys(['performer']),dict_values(['P175'])
Q1075947,"dict_keys(['student', 'author'])","dict_values(['P802', 'P50'])"
Q2548540,dict_keys([]),dict_values([])
Q840197,"dict_keys(['producer', 'performer', ""category's main topic"", 'member of', 'participant', 'template has topic', 'influenced by'])","dict_values(['P162', 'P175', 'P301', 'P463', 'P710', 'P1423', 'P737'])"
Q74801,"dict_keys(['part of the series', 'present in work', 'notable work', ""category's main topic""])","dict_values(['P179', 'P1441', 'P800', 'P301'])"
Q12881583,"dict_keys(['cast member', 'producer'])","dict_values(['P161', 'P162'])"
Q926913,"dict_keys(['place of burial', 'location', 'category combines topics', 'filming location'])","dict_values(['P119', 'P276', 'P971', 'P915'])"
Q5769348,dict_keys([]),dict_values([])
Q1765358,"dict_keys(['followed by', 'present in work', 'has part(s)', 'first appearance', 'fictional universe described in', 'derivative work'])","dict_values(['P156', 'P1441', 'P527', 'P4584', 'P1445', 'P4969'])"
Q382589,dict_keys(['performer']),dict_values(['P175'])
Q7883387,dict_keys([]),dict_values([])
Q1483502,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q7621884,dict_keys([]),dict_values([])
['Q130232'],error,error
Q259921,"dict_keys(['child', 'employer', 'named after', 'sibling', 'lyrics by'])","dict_values(['P40', 'P108', 'P138', 'P3373', 'P676'])"
Q776,"dict_keys(['place of birth', 'shares border with', 'located in the administrative territorial entity', 'place of death', 'contains the administrative territorial entity', 'part of', 'owned by', 'residence', 'different from', ""category's main topic"", 'location', 'category combines topics', 'depicts', 'main subject', 'work location', 'applies to jurisdiction', 'operating area', 'has part(s)', 'capital of', 'named after', 'located in/on physical feature'])","dict_values(['P19', 'P47', 'P131', 'P20', 'P150', 'P361', 'P127', 'P551', 'P1889', 'P301', 'P276', 'P971', 'P180', 'P921', 'P937', 'P1001', 'P2541', 'P527', 'P1376', 'P138', 'P706'])"
Q78343,dict_keys([]),dict_values([])
Q742923,"dict_keys(['author', 'lyrics by'])","dict_values(['P50', 'P676'])"
['Q30'],error,error
Q139596,"dict_keys(['commissioned by', 'member of political party', 'publisher', 'participant', 'followed by', 'parent organization', 'part of', ""category's main topic"", 'facet of', 'member of', 'follows', 'main building contractor'])","dict_values(['P88', 'P102', 'P123', 'P710', 'P156', 'P749', 'P361', 'P301', 'P1269', 'P463', 'P155', 'P193'])"
Q330629,"dict_keys(['record label', 'parent organization', 'production company', 'distributed by', 'employer', 'partnership with', 'part of', 'founded by', 'has part(s)', 'publisher', 'category combines topics', 'business division', 'different from', ""category's main topic""])","dict_values(['P264', 'P749', 'P272', 'P750', 'P108', 'P2652', 'P361', 'P112', 'P527', 'P123', 'P971', 'P199', 'P1889', 'P301'])"
Q4896870,dict_keys([]),dict_values([])
Q2086913,"dict_keys(['part of', 'located in time zone'])","dict_values(['P361', 'P421'])"
Q1382109,"dict_keys(['doctoral advisor', 'doctoral student', 'winner', 'main subject'])","dict_values(['P184', 'P185', 'P1346', 'P921'])"
Q1631247,dict_keys([]),dict_values([])
Q5417701,"dict_keys(['followed by', 'has part(s)'])","dict_values(['P156', 'P527'])"
Q2017774,dict_keys([]),dict_values([])
Q2611704,"dict_keys(['illustrator', 'author', 'creator', 'winner', 'cover art by'])","dict_values(['P110', 'P50', 'P170', 'P1346', 'P736'])"
Q953083,"dict_keys(['performer', 'category combines topics'])","dict_values(['P175', 'P971'])"
Q487914,"dict_keys(['genre', 'subclass of', 'instance of', 'facet of', ""category's main topic""])","dict_values(['P136', 'P279', 'P31', 'P1269', 'P301'])"
Q2241580,dict_keys([]),dict_values([])
Q2482872,"dict_keys(['record label', 'different from', 'business division', 'category combines topics'])","dict_values(['P264', 'P1889', 'P199', 'P971'])"
Q7196444,dict_keys([]),dict_values([])
Q25989,"dict_keys(['located in time zone', 'main subject', 'said to be the same as'])","dict_values(['P421', 'P921', 'P460'])"
Q27468,"dict_keys(['item for this sense', 'field of work', 'demonym of', 'country', 'narrative location', 'ancestral home', 'part of', 'place of birth', 'residence', 'located in the administrative territorial entity', 'depicts', 'main subject', 'work location', 'facet of', 'genre', 'shares border with', 'location', 'named after', 'located in/on physical feature', 'headquarters location', 'location of creation', 'historical region', ""Wikimedia portal's main topic"", ""category's main topic"", 'country of origin', 'operating area', 'interested in', 'has part(s)', 'category combines topics', 'indigenous to', 'studies', 'different from'])","dict_values(['P5137', 'P101', 'P6271', 'P17', 'P840', 'P66', 'P361', 'P19', 'P551', 'P131', 'P180', 'P921', 'P937', 'P1269', 'P136', 'P47', 'P276', 'P138', 'P706', 'P159', 'P1071', 'P6885', 'P1204', 'P301', 'P495', 'P2541', 'P2650', 'P527', 'P971', 'P2341', 'P2578', 'P1889'])"
Q714880,"dict_keys(['screenwriter', 'producer', 'influenced by'])","dict_values(['P58', 'P162', 'P737'])"
Q644276,dict_keys([]),dict_values([])
Q53094,"dict_keys(['genre', 'different from', 'uses', 'subclass of', ""category's main topic""])","dict_values(['P136', 'P1889', 'P2283', 'P279', 'P301'])"
Q897069,dict_keys(['named after']),dict_values(['P138'])
Q721068,dict_keys([]),dict_values([])
Q484951,dict_keys([]),dict_values([])
Q164067,dict_keys([]),dict_values([])
Q6780454,dict_keys([]),dict_values([])
Q736089,"dict_keys(['composer', 'performer', ""category's main topic"", 'member of', 'category combines topics', 'different from'])","dict_values(['P86', 'P175', 'P301', 'P463', 'P971', 'P1889'])"
Q1273736,"dict_keys(['follows', 'followed by', 'present in work'])","dict_values(['P155', 'P156', 'P1441'])"
Q1200059,dict_keys(['captain']),dict_values(['P634'])
Q548990,"dict_keys(['performer', 'part of', 'member of', 'different from', 'category combines topics', 'template has topic'])","dict_values(['P175', 'P361', 'P463', 'P1889', 'P971', 'P1423'])"
Q375062,"dict_keys(['based on', 'follows', ""category's main topic"", 'followed by', 'template has topic'])","dict_values(['P144', 'P155', 'P301', 'P156', 'P1423'])"
Q654664,dict_keys([]),dict_values([])
Q5073849,"dict_keys(['recording or performance of', 'follows', 'followed by', 'different from'])","dict_values(['P2550', 'P155', 'P156', 'P1889'])"
Q5498519,"dict_keys(['father', 'spouse', 'child'])","dict_values(['P22', 'P26', 'P40'])"
Q11366,"dict_keys(['genre', 'movement', 'radio format', 'subclass of', ""category's main topic"", 'main subject', 'category combines topics'])","dict_values(['P136', 'P135', 'P415', 'P279', 'P301', 'P921', 'P971'])"
['Q6607'],error,error
Q1053705,"dict_keys(['located in time zone', 'said to be the same as'])","dict_values(['P421', 'P460'])"
